"id","State__id","State__City__id","State__City__Station__id","State__City__Station__lastupdate","State__City__Station__Pollutant_Index__Avg","State__City__Station__Pollutant_Index__Max","State__City__Station__Pollutant_Index__Min","State__City__Station__Pollutant_Index__id"
"","","","","","23","29","20","OZONE"
"","","Mandideep","Sector-D Industrial Area, Mandideep - MPPCB","08-01-2019 09:00:00","284","369","145","PM2.5"
"","","","","","184","269","128","PM10"
"","","","","","31","70","12","NO2"
"","","","","","6","12","4","NH3"
"","","","","","25","33","13","SO2"
"","","","","","56","70","24","CO"
"","","","","","17","96","11","OZONE"
"","","Pithampur","Sector-2 Industrial Area, Pithampur - MPPCB","08-01-2019 09:00:00","347","417","293","PM2.5"
"","","","","","229","342","172","PM10"
"","","","","","21","57","9","NO2"
"","","","","","5","9","4","NH3"
"","","","","","14","50","5","SO2"
"","","","","","42","66","32","CO"
"","","","","","52","107","23","OZONE"
"","","Ratlam","Shasthri Nagar, Ratlam - IPCA Lab","08-01-2019 09:00:00","267","311","201","PM2.5"
"","","","","","157","215","129","PM10"
"","","","","","8","9","7","SO2"
"","","Satna","Bandhavgar Colony, Satna - MPPCB","08-01-2019 09:00:00","13","29","4","PM2.5"
"","","","","","115","151","69","PM10"
"","","","","","55","58","51","SO2"
"","","","","","94","108","89","CO"
"","","Singrauli","Vindhyachal STPS, Singrauli - MPPCB","08-01-2019 09:00:00","356","403","292","PM2.5"
"","","","","","239","335","170","PM10"
"","","","","","2","4","1","NO2"
"","","","","","NA","NA","NA","NH3"
"","","","","","15","19","6","SO2"
"","","","","","15","16","8","CO"
"","","","","","28","169","15","OZONE"
"","","Ujjain","Mahakaleshwar Temple, Ujjain - MPPCB","08-01-2019 09:00:00","304","378","190","PM2.5"
"","","","","","169","246","128","PM10"
"","","","","","40","75","20","NO2"
"","","","","","9","13","6","NH3"
"","","","","","5","10","1","SO2"
"","","","","","54","101","32","CO"
"","","","","","66","145","9","OZONE"
"","Maharashtra","Aurangabad","More Chowk Waluj, Aurangabad - MPCB","08-01-2019 09:00:00","80","162","52","PM2.5"
"","","","","","95","144","71","PM10"
"","","","","","22","25","21","NO2"
"","","","","","5","5","5","NH3"
"","","","","","10","19","1","SO2"
"","","","","","38","49","23","CO"
"","","","","","71","144","19","OZONE"
"","","Chandrapur","Chandrapur, Chandrapur - MPCB","08-01-2019 09:00:00","239","318","172","PM2.5"
"","","","","","165","276","119","PM10"
"","","","","","30","84","18","NO2"
"","","","","","5","7","4","NH3"
"","","","","","11","18","9","SO2"
"","","","","","7","34","2","CO"
"","","","","","9","11","5","OZONE"
"","","","MIDC Khutala, Chandrapur - MPCB","08-01-2019 09:00:00","87","136","64","PM2.5"
"","","","","","105","143","80","PM10"
"","","","","","60","78","46","NO2"
"","","","","","3","3","2","NH3"
"","","","","","6","12","2","SO2"
"","","","","","4","6","3","CO"
"","","Mumbai","Bandra, Mumbai - MPCB","08-01-2019 09:00:00","109","270","58","PM2.5"
"","","","","","159","305","97","PM10"
"","","","","","75","154","40","NO2"
"","","","","","44","74","22","SO2"
"","","","","","123","143","75","CO"
"","","","","","45","71","32","OZONE"
"","","Nagpur","Opp GPO Civil Lines, Nagpur - MPCB","08-01-2019 09:00:00","168","280","75","PM2.5"
"","","","","","117","148","81","PM10"
"","","","","","59","140","20","NO2"
"","","","","","18","49","8","NH3"
"","","","","","28","132","2","SO2"
"","","","","","36","116","24","CO"
"","","","","","93","120","27","OZONE"
"","","Nashik","Gangapur Road, Nashik - MPCB","08-01-2019 09:00:00","97","205","41","PM2.5"
"","","","","","97","136","59","PM10"
"","","","","","83","151","39","NO2"
"","","","","","9","13","6","NH3"
"","","","","","27","106","4","SO2"
"","","","","","66","115","19","CO"
"","","","","","29","178","5","OZONE"
"","","Navi Mumbai","Airoli, Navi Mumbai - MPCB","08-01-2019 09:00:00","125","325","59","PM10"
"","","","","","46","51","43","SO2"
"","","","","","99","101","95","CO"
"","","Pune","Karve Road, Pune - MPCB","08-01-2019 09:00:00","197","351","85","PM2.5"
"","","","","","170","330","83","PM10"
"","","","","","16","24","7","NO2"
"","","","","","84","109","39","SO2"
"","","","","","8","108","3","CO"
"","","","","","11","12","11","OZONE"
"","","Solapur","Solapur, Solapur - MPCB","08-01-2019 09:00:00","125","273","72","PM2.5"
"","","","","","148","361","99","PM10"
"","","","","","87","118","59","NO2"
"","","","","","13","14","12","SO2"
"","","","","","65","112","46","CO"
"","","","","","39","82","12","OZONE"
"","","Thane","Pimpleshwar Mandir, Thane - MPCB","08-01-2019 09:00:00","NA","NA","NA","PM2.5"
"","","","","","NA","NA","NA","PM10"
"","","","","","NA","NA","NA","NO2"
"","","","","","NA","NA","NA","NH3"
"","","","","","NA","NA","NA","SO2"
"","","","","","NA","NA","NA","CO"
"","","","","","NA","NA","NA","OZONE"
"","Odisha","Brajrajnagar","GM Office, Brajrajnagar - OSPCB","08-01-2019 09:00:00","270","366","79","PM2.5"
"","","","","","164","293","58","PM10"
"","","","","","36","59","14","NO2"
"","","","","","12","30","3","NH3"
"","","","","","19","21","17","SO2"
"","","","","","116","118","106","CO"
"","","","","","6","16","3","OZONE"
"","","Talcher","Talcher Coalfields,Talcher - OSPCB","08-01-2019 09:00:00","257","401","84","PM2.5"
"","","","","","288","500","165","PM10"
"","","","","","7","11","2","NO2"
"","","","","","2","2","1","NH3"
"","","","","","41","84","27","SO2"
"","","","","","124","138","104","CO"
"","","","","","4","19","2","OZONE"
"","Punjab","Amritsar","Golden Temple, Amritsar - PPCB","08-01-2019 09:00:00","49","73","20","PM2.5"
"","","","","","68","94","48","PM10"
"","","","","","35","47","14","NO2"
"","","","","","2","3","1","NH3"
"","","","","","3","3","2","SO2"
"","","","","","6","13","4","OZONE"
"","","Bathinda","Hardev Nagar, Bathinda - PPCB","08-01-2019 09:00:00","69","94","51","PM2.5"
"","","","","","69","99","23","PM10"
"","","","","","25","33","20","NO2"
"","","","","","12","15","8","SO2"
"","","","","","34","64","17","CO"
"","","Jalandhar","Civil Line, Jalandhar - PPCB","08-01-2019 09:00:00","83","178","49","PM2.5"
"","","","","","77","125","48","PM10"
"","","","","","24","24","24","NO2"
"","","","","","6","6","6","NH3"
"","","","","","9","24","5","SO2"
"","","","","","32","98","5","CO"
"","","","","","3","22","2","OZONE"
"","","Khanna","Kalal Majra, Khanna - PPCB","08-01-2019 09:00:00","54","78","28","PM2.5"
"","","","","","77","110","37","PM10"
"","","","","","30","45","19","NO2"
"","","","","","2","3","2","NH3"
"","","","","","17","27","11","SO2"
"","","","","","22","40","12","CO"
"","","","","","1","4","1","OZONE"
"","","Ludhiana","Punjab Agricultural University, Ludhiana - PPCB","08-01-2019 09:00:00","45","82","29","PM2.5"
"","","","","","79","115","48","PM10"
"","","","","","14","18","13","NO2"
"","","","","","11","11","10","NH3"
"","","","","","5","17","5","OZONE"
"","","Mandi Gobindgarh","RIMT University, Mandi Gobindgarh - PPCB","08-01-2019 09:00:00","108","239","30","PM2.5"
"","","","","","114","191","42","PM10"
"","","","","","24","24","23","NO2"
"","","","","","4","4","4","NH3"
"","","","","","7","15","4","SO2"
"","","","","","61","72","28","CO"
"","","","","","14","43","13","OZONE"
"","","Patiala","Model Town, Patiala - PPCB","08-01-2019 09:00:00","NA","NA","NA","PM2.5"
"","","","","","NA","NA","NA","PM10"
"","","","","","NA","NA","NA","NO2"
"","","","","","NA","NA","NA","NH3"
"","","","","","NA","NA","NA","SO2"
"","","","","","37","44","17","CO"
"","","","","","4","14","3","OZONE"
"","","Rupnagar","Ratanpura, Rupnagar - PPCB","08-01-2019 09:00:00","86","148","42","PM2.5"
"","","","","","92","143","52","PM10"
"","","","","","16","18","15","NO2"
"","","","","","9","10","8","SO2"
"","","","","","27","31","18","CO"
"","Rajasthan","Ajmer","Civil Lines,  Ajmer - RSPCB","08-01-2019 09:00:00","120","230","58","PM2.5"
"","","","","","122","173","102","PM10"
"","","","","","43","100","18","NO2"
"","","","","","8","11","6","NH3"
"","","","","","8","13","2","SO2"
"","","","","","36","111","15","CO"
"","","","","","20","97","5","OZONE"
"","","Alwar","Moti Doongri, Alwar - RSPCB","08-01-2019 09:00:00","75","119","50","PM2.5"
"","","","","","92","120","71","PM10"
"","","","","","25","29","12","NO2"
"","","","","","8","8","3","NH3"
"","","","","","19","25","14","SO2"
"","","","","","42","101","7","CO"
"","","","","","14","74","11","OZONE"
"","","Bhiwadi","RIICO Ind. Area III, Bhiwadi - RSPCB","08-01-2019 09:00:00","280","328","161","PM2.5"
"","","","","","163","235","123","PM10"
"","","","","","42","83","16","NO2"
"","","","","","6","8","4","NH3"
"","","","","","39","88","11","SO2"
"","","","","","29","58","10","CO"
"","","","","","5","48","2","OZONE"
"","","Jaipur","Adarsh Nagar, Jaipur - RSPCB","08-01-2019 09:00:00","63","94","39","PM2.5"
"","","","","","101","126","73","PM10"
"","","","","","44","83","20","NO2"
"","","","","","3","5","1","NH3"
"","","","","","9","13","6","SO2"
"","","","","","51","112","7","CO"
"","","","","","29","88","6","OZONE"
"","","","Police Commissionerate, Jaipur - RSPCB","08-01-2019 09:00:00","110","180","51","PM2.5"
"","","","","","111","146","82","PM10"
"","","","","","83","124","25","NO2"
"","","","","","8","20","6","NH3"
"","","","","","48","104","8","SO2"
"","","","","","34","63","6","CO"
"","","","","","13","74","7","OZONE"
"","","","Shastri Nagar, Jaipur - RSPCB","08-01-2019 09:00:00","130","239","4","PM2.5"
"","","","","","112","162","28","PM10"
"","","","","","13","23","9","NO2"
"","","","","","6","8","5","NH3"
"","","","","","14","33","4","SO2"
"","","","","","42","88","9","CO"
"","","","","","21","76","4","OZONE"
"","","Jodhpur","Collectorate, Jodhpur - RSPCB","08-01-2019 09:00:00","150","305","60","PM2.5"
"","","","","","124","165","90","PM10"
"","","","","","51","68","37","NO2"
"","","","","","11","24","6","SO2"
"","","","","","74","114","29","CO"
"","","","","","18","70","4","OZONE"
"","","Kota","Shrinath Puram, Kota - RSPCB","08-01-2019 09:00:00","196","333","101","PM2.5"
"","","","","","132","231","100","PM10"
"","","","","","54","82","42","NO2"
"","","","","","6","9","5","NH3"
"","","","","","7","24","4","SO2"
"","","","","","23","103","17","CO"
"","","","","","8","47","4","OZONE"
"","","Pali","Indira Colony Vistar, Pali - RSPCB","08-01-2019 09:00:00","129","311","76","PM2.5"
"","","","","","116","160","84","PM10"
"","","","","","48","61","32","NO2"
"","","","","","10","13","6","NH3"
"","","","","","6","20","3","SO2"
"","","","","","39","55","24","CO"
"","","","","","25","103","11","OZONE"
"","","Udaipur","Ashok Nagar, Udaipur - RSPCB","08-01-2019 09:00:00","200","324","82","PM2.5"
"","","","","","206","403","124","PM10"
"","","","","","58","87","36","NO2"
"","","","","","11","17","3","NH3"
"","","","","","16","21","11","SO2"
"","","","","","49","145","25","CO"
"","","","","","6","79","3","OZONE"
"","TamilNadu","Chennai","Alandur Bus Depot, Chennai - CPCB","08-01-2019 09:00:00","94","210","26","PM2.5"
"","","","","","23","36","13","NO2"
"","","","","","24","83","3","SO2"
"","","","","","15","108","12","CO"
"","","","","","6","62","5","OZONE"
"","","","Manali, Chennai - CPCB","08-01-2019 09:00:00","113","371","10","PM2.5"
"","","","","","15","19","13","NO2"
"","","","","","16","17","15","NH3"
"","","","","","22","61","8","SO2"
"","","","","","58","72","45","CO"
"","","","Velachery Res. Area, Chennai - CPCB","08-01-2019 09:00:00","81","122","49","PM2.5"
"","","","","","16","30","11","NO2"
"","","","","","7","9","6","SO2"
"","","","","","20","42","12","CO"
"","","","","","20","78","18","OZONE"
"","Telangana","Hyderabad","Bollaram Industrial Area, Hyderabad - TSPCB","08-01-2019 09:00:00","147","182","79","PM2.5"
"","","","","","138","158","89","PM10"
"","","","","","37","59","18","NO2"
"","","","","","5","6","4","NH3"
"","","","","","6","11","3","SO2"
"","","","","","44","60","11","CO"
"","","","","","18","31","7","OZONE"
"","","","Central University, Hyderabad - TSPCB","08-01-2019 09:00:00","153","187","87","PM2.5"
"","","","","","145","156","124","PM10"
"","","","","","100","198","45","NO2"
"","","","","","6","13","4","NH3"
"","","","","","9","18","1","SO2"
"","","","","","50","104","19","CO"
"","","","","","30","139","1","OZONE"
"","","","ICRISAT Patancheru, Hyderabad - TSPCB","08-01-2019 09:00:00","155","184","98","PM2.5"
"","","","","","146","157","111","PM10"
"","","","","","44","88","18","NO2"
"","","","","","4","6","3","NH3"
"","","","","","17","30","8","SO2"
"","","","","","46","66","12","CO"
"","","","","","4","71","1","OZONE"
"","","","IDA Pashamylaram, Hyderabad - TSPCB","08-01-2019 09:00:00","159","187","90","PM2.5"
"","","","","","145","156","116","PM10"
"","","","","","76","122","37","NO2"
"","","","","","NA","NA","NA","NH3"
"","","","","","34","111","10","SO2"
"","","","","","57","70","20","CO"
"","","","","","12","61","6","OZONE"
"","","","Sanathnagar, Hyderabad - TSPCB","08-01-2019 09:00:00","153","179","96","PM2.5"
"","","","","","94","139","13","NO2"
"","","","","","20","67","10","SO2"
"","","","","","51","82","8","CO"
"","","","","","6","70","2","OZONE"
"","","","Zoo Park, Hyderabad - TSPCB","08-01-2019 09:00:00","163","185","145","PM2.5"
"","","","","","149","156","121","PM10"
"","","","","","122","177","82","NO2"
"","","","","","5","6","3","NH3"
"","","","","","4","9","1","SO2"
"","","","","","86","104","28","CO"
"","","","","","17","65","12","OZONE"
"","Uttar_Pradesh","Agra","Sanjay Palace, Agra - UPPCB","08-01-2019 09:00:00","339","383","307","PM2.5"
"","","","","","48","92","29","NO2"
"","","","","","10","23","2","SO2"
"","","","","","21","52","16","CO"
"","","","","","10","10","10","OZONE"
"","","Baghpat","New Collectorate, Baghpat - UPPCB","08-01-2019 09:00:00","312","353","233","PM2.5"
"","","","","","157","210","113","PM10"
"","","","","","22","31","11","NO2"
"","","","","","10","13","9","NH3"
"","","","","","14","68","1","SO2"
"","","","","","NA","NA","NA","CO"
"","","","","","8","129","4","OZONE"
"","","Bulandshahr","Yamunapuram, Bulandshahr - UPPCB","08-01-2019 09:00:00","349","422","261","PM2.5"
"","","","","","222","387","136","PM10"
"","","","","","84","140","33","NO2"
"","","","","","33","39","26","NH3"
"","","","","","10","14","4","SO2"
"","","","","","34","116","4","CO"
"","","","","","5","118","4","OZONE"
"","","Ghaziabad","Vasundhara, Ghaziabad - UPPCB","08-01-2019 09:00:00","344","430","292","PM2.5"
"","","","","","211","407","133","PM10"
"","","","","","103","151","68","NO2"
"","","","","","15","18","11","NH3"
"","","","","","40","106","9","SO2"
"","","","","","59","116","37","CO"
"","","","","","8","58","6","OZONE"
"","","Greater_Noida","Knowledge Park - III, Greater Noida - UPPCB","08-01-2019 09:00:00","349","424","285","PM2.5"
"","","","","","224","317","154","PM10"
"","","","","","120","177","62","NO2"
"","","","","","12","14","11","NH3"
"","","","","","19","40","4","SO2"
"","","","","","46","105","20","CO"
"","","Hapur","Anand Vihar, Hapur - UPPCB","08-01-2019 09:00:00","328","419","182","PM2.5"
"","","","","","188","298","124","PM10"
"","","","","","45","104","12","NO2"
"","","","","","15","20","13","NH3"
"","","","","","22","53","11","SO2"
"","","","","","49","80","32","CO"
"","","","","","6","69","3","OZONE"
"","","Kanpur","Nehru Nagar, Kanpur - UPPCB","08-01-2019 09:00:00","307","455","191","PM2.5"
"","","","","","91","189","37","NO2"
"","","","","","10","35","3","SO2"
"","","","","","62","177","44","CO"
"","","","","","30","72","3","OZONE"
"","","Lucknow","Central School, Lucknow - CPCB","08-01-2019 09:00:00","172","361","53","PM2.5"
"","","","","","37","56","26","NO2"
"","","","","","3","6","1","SO2"
"","","","","","42","110","8","CO"
"","","","","","4","19","2","OZONE"
"","","","Lalbagh, Lucknow - CPCB","08-01-2019 09:00:00","174","387","54","PM2.5"
"","","","","","59","117","28","NO2"
"","","","","","19","48","4","SO2"
"","","","","","72","141","44","CO"
"","","","","","47","112","18","OZONE"
"","","","Nishant Ganj, Lucknow - UPPCB","08-01-2019 09:00:00","258","476","57","PM2.5"
"","","","","","49","101","28","NO2"
"","","","","","9","14","6","SO2"
"","","","","","15","113","8","CO"
"","","","","","11","28","4","OZONE"
"","","","Talkatora District Industries Center, Lucknow - CPCB","08-01-2019 09:00:00","198","409","92","PM2.5"
"","","","","","50","104","18","NO2"
"","","","","","9","23","6","NH3"
"","","","","","9","12","6","SO2"
"","","","","","51","116","6","CO"
"","","Moradabad","Lajpat Nagar, Moradabad - UPPCB","08-01-2019 09:00:00","291","384","95","PM2.5"
"","","","","","201","289","118","PM10"
"","","","","","90","163","44","NO2"
"","","","","","11","14","8","NH3"
"","","","","","28","45","7","SO2"
"","","","","","44","100","10","CO"
"","","","","","8","87","3","OZONE"
"","","Muzaffarnagar","New Mandi, Muzaffarnagar - UPPCB","08-01-2019 09:00:00","276","367","88","PM2.5"
"","","","","","175","304","117","PM10"
"","","","","","76","125","46","NO2"
"","","","","","15","21","11","NH3"
"","","","","","19","60","4","SO2"
"","","","","","56","108","48","CO"
"","","","","","11","73","3","OZONE"
"","","Noida","Sector - 125, Noida - UPPCB","08-01-2019 09:00:00","355","421","265","PM2.5"
"","","","","","240","403","162","PM10"
"","","","","","72","104","33","NO2"
"","","","","","15","18","8","NH3"
"","","","","","11","23","2","SO2"
"","","","","","85","127","23","CO"
"","","","","","4","38","2","OZONE"
"","","","Sector - 62, Noida - IMD","08-01-2019 09:00:00","277","366","161","PM2.5"
"","","","","","199","360","121","PM10"
"","","","","","44","56","29","NO2"
"","","","","","23","59","11","CO"
"","","","","","15","141","14","OZONE"
"","","Varanasi","Ardhali Bazar, Varanasi - UPPCB","08-01-2019 09:00:00","292","423","127","PM2.5"
"","","","","","236","434","115","PM10"
"","","","","","116","168","90","NO2"
"","","","","","26","44","2","SO2"
"","","","","","37","112","13","CO"
"","","","","","22","105","3","OZONE"
"","West_Bengal","Asanol","Asansol Court Area, Asansol - WBPCB","08-01-2019 09:00:00","137","352","46","PM2.5"
"","","","","","120","217","78","PM10"
"","","","","","63","101","35","NO2"
"","","","","","9","14","4","NH3"
"","","","","","13","21","5","SO2"
"","","","","","35","66","1","CO"
"","","","","","7","22","2","OZONE"
"","","Durgapur","Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB","08-01-2019 09:00:00","61","136","25","PM10"
"","","","","","17","22","8","SO2"
"","","","","","39","86","11","CO"
"","","Howrah","Ghusuri, Howrah - WBPCB","08-01-2019 09:00:00","253","407","74","PM2.5"
"","","","","","230","498","107","PM10"
"","","","","","108","182","52","NO2"
"","","","","","8","10","5","NH3"
"","","","","","69","113","41","SO2"
"","","","","","71","134","1","CO"
"","","","","","3","54","2","OZONE"
"","","","Padmapukur, Howrah - WBPCB","08-01-2019 09:00:00","NA","NA","NA","PM2.5"
"","","","","","NA","NA","NA","PM10"
"","","","","","NA","NA","NA","NO2"
"","","","","","NA","NA","NA","NH3"
"","","","","","NA","NA","NA","SO2"
"","","","","","15","75","2","CO"
"","","","","","6","111","2","OZONE"
"","","Kolkata","Rabindra Bharati University, Kolkata - WBPCB","08-01-2019 09:00:00","296","448","100","PM2.5"
"","","","","","259","457","122","PM10"
"","","","","","140","260","50","NO2"
"","","","","","6","24","1","NH3"
"","","","","","24","55","11","SO2"
"","","","","","14","22","12","CO"
"","","","","","7","89","5","OZONE"
"","","","Victoria, Kolkata - WBPCB","08-01-2019 09:00:00","282","433","15","PM2.5"
"","","","","","201","407","36","PM10"
"","","","","","146","241","67","NO2"
"","","","","","8","12","6","NH3"
"","","","","","23","73","3","SO2"
"","","","","","87","139","16","CO"
"","","","","","4","81","3","OZONE"
"","","Siliguri","Ward-32 Bapupara, Siliguri - WBPCB","08-01-2019 09:00:00","219","413","52","PM2.5"
"","","","","","266","500","68","PM10"
"","","","","","66","152","10","NO2"
"","","","","","12","21","2","NH3"
"","","","","","6","9","2","SO2"
"","","","","","27","130","6","CO"
"","","","","","7","86","7","OZONE"
